NO-GUROBI HEURISTIC SOLUTION
====================================

problemName: 20170606T115823934453
vehicleFileID: 101
cutoffTime: 3600.000000
problemType: 2
problemTypeString: mFSTSP No-Gurobi Heuristic
numUAVs: 3
numTrucks: -1
requireTruckAtDepot: True
requireDriver: True
Etype: 3
ITER: 1

Objective Function Value: 20195.908686
Truck Waiting Time: 994.154048
UAV Waiting Time: 5615.887564
Number of Truck Customers: 33
Number of UAV Customers: 67
Runtime: 66.640814

Validation:
{'valid': True, 'missing_customers': [], 'duplicated_customers': [], 'extra_customers': []}
{'time': 1666.1918085343943, 'activity': 'truck_travel_done', 'from': 63, 'to': 79}
{'time': 1666.1918085343943, 'activity': 'truck_arrive', 'node': 79}
{'time': 1696.1918085343943, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 63, 'uav_customer': 85, 'recovery_node': 79}
{'time': 1947.0188216734916, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 63, 'uav_customer': 25, 'recovery_node': 79}
{'time': 1977.0188216734916, 'activity': 'truck_service_done', 'node': 79}
{'time': 2037.0188216734916, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 79, 'uav_customer': 96, 'recovery_node': 51, 'uav_expected_recovery_time': 2427.564583427081}
{'time': 2097.0188216734914, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 79, 'uav_customer': 16, 'recovery_node': 51, 'uav_expected_recovery_time': 2500.556171089577}
{'time': 2157.0188216734914, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 79, 'uav_customer': 9, 'recovery_node': 51, 'uav_expected_recovery_time': 2598.2505596733067}
{'time': 2465.569333673491, 'activity': 'truck_travel_done', 'from': 79, 'to': 51}
{'time': 2465.569333673491, 'activity': 'truck_arrive', 'node': 51}
{'time': 2495.569333673491, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 79, 'uav_customer': 96, 'recovery_node': 51}
{'time': 2530.556171089577, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 79, 'uav_customer': 16, 'recovery_node': 51}
{'time': 2628.2505596733067, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 79, 'uav_customer': 9, 'recovery_node': 51}
{'time': 2658.2505596733067, 'activity': 'truck_service_done', 'node': 51}
{'time': 2718.2505596733067, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 51, 'uav_customer': 34, 'recovery_node': 80, 'uav_expected_recovery_time': 3357.665383814752}
{'time': 2778.2505596733067, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 51, 'uav_customer': 19, 'recovery_node': 80, 'uav_expected_recovery_time': 3387.0881719471945}
{'time': 2838.2505596733067, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 51, 'uav_customer': 50, 'recovery_node': 80, 'uav_expected_recovery_time': 3489.362912340961}
{'time': 3467.1871416733065, 'activity': 'truck_travel_done', 'from': 51, 'to': 80}
{'time': 3467.1871416733065, 'activity': 'truck_arrive', 'node': 80}
{'time': 3497.1871416733065, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 51, 'uav_customer': 34, 'recovery_node': 80}
{'time': 3527.1871416733065, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 51, 'uav_customer': 19, 'recovery_node': 80}
{'time': 3557.1871416733065, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 51, 'uav_customer': 50, 'recovery_node': 80}
{'time': 3587.1871416733065, 'activity': 'truck_service_done', 'node': 80}
{'time': 3647.1871416733065, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 80, 'uav_customer': 84, 'recovery_node': 76, 'uav_expected_recovery_time': 3868.8109167043513}
{'time': 3707.1871416733065, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 80, 'uav_customer': 81, 'recovery_node': 76, 'uav_expected_recovery_time': 3893.44215358226}
{'time': 3767.1871416733065, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 80, 'uav_customer': 45, 'recovery_node': 76, 'uav_expected_recovery_time': 3948.8057985677583}
{'time': 3973.0788466733065, 'activity': 'truck_travel_done', 'from': 80, 'to': 76}
{'time': 3973.0788466733065, 'activity': 'truck_arrive', 'node': 76}
{'time': 4003.0788466733065, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 80, 'uav_customer': 84, 'recovery_node': 76}
{'time': 4033.0788466733065, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 80, 'uav_customer': 81, 'recovery_node': 76}
{'time': 4063.0788466733065, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 80, 'uav_customer': 45, 'recovery_node': 76}
{'time': 4093.0788466733065, 'activity': 'truck_service_done', 'node': 76}
{'time': 4153.0788466733065, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 76, 'uav_customer': 87, 'recovery_node': 3, 'uav_expected_recovery_time': 4658.731368694244}
{'time': 4213.0788466733065, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 76, 'uav_customer': 95, 'recovery_node': 3, 'uav_expected_recovery_time': 4660.958964032234}
{'time': 4273.0788466733065, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 76, 'uav_customer': 18, 'recovery_node': 3, 'uav_expected_recovery_time': 4694.4823685694455}
{'time': 5147.423824673307, 'activity': 'truck_travel_done', 'from': 76, 'to': 3}
{'time': 5147.423824673307, 'activity': 'truck_arrive', 'node': 3}
{'time': 5177.423824673307, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 76, 'uav_customer': 87, 'recovery_node': 3}
{'time': 5207.423824673307, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 76, 'uav_customer': 95, 'recovery_node': 3}
{'time': 5237.423824673307, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 76, 'uav_customer': 18, 'recovery_node': 3}
{'time': 5267.423824673307, 'activity': 'truck_service_done', 'node': 3}
{'time': 5327.423824673307, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 3, 'uav_customer': 73, 'recovery_node': 75, 'uav_expected_recovery_time': 5898.058251799855}
{'time': 5387.423824673307, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 3, 'uav_customer': 53, 'recovery_node': 75, 'uav_expected_recovery_time': 5950.960710010603}
{'time': 5447.423824673307, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 3, 'uav_customer': 22, 'recovery_node': 75, 'uav_expected_recovery_time': 6008.8324396162025}
{'time': 6020.448111673307, 'activity': 'truck_travel_done', 'from': 3, 'to': 75}
{'time': 6020.448111673307, 'activity': 'truck_arrive', 'node': 75}
{'time': 6050.448111673307, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 3, 'uav_customer': 73, 'recovery_node': 75}
{'time': 6080.448111673307, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 3, 'uav_customer': 53, 'recovery_node': 75}
{'time': 6110.448111673307, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 3, 'uav_customer': 22, 'recovery_node': 75}
{'time': 6140.448111673307, 'activity': 'truck_service_done', 'node': 75}
{'time': 6200.448111673307, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 75, 'uav_customer': 42, 'recovery_node': 8, 'uav_expected_recovery_time': 6470.701874788684}
{'time': 6260.448111673307, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 75, 'uav_customer': 13, 'recovery_node': 8, 'uav_expected_recovery_time': 6531.378309933605}
{'time': 6320.448111673307, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 75, 'uav_customer': 36, 'recovery_node': 8, 'uav_expected_recovery_time': 6613.452003313416}
{'time': 6509.960820673306, 'activity': 'truck_travel_done', 'from': 75, 'to': 8}
{'time': 6509.960820673306, 'activity': 'truck_arrive', 'node': 8}
{'time': 6539.960820673306, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 75, 'uav_customer': 42, 'recovery_node': 8}
{'time': 6569.960820673306, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 75, 'uav_customer': 13, 'recovery_node': 8}
{'time': 6643.452003313416, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 75, 'uav_customer': 36, 'recovery_node': 8}
{'time': 6673.452003313416, 'activity': 'truck_service_done', 'node': 8}
{'time': 6733.452003313416, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 8, 'uav_customer': 77, 'recovery_node': 48, 'uav_expected_recovery_time': 7144.60173401288}
{'time': 6793.452003313416, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 8, 'uav_customer': 97, 'recovery_node': 48, 'uav_expected_recovery_time': 7235.416034903497}
{'time': 6853.452003313416, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 8, 'uav_customer': 86, 'recovery_node': 48, 'uav_expected_recovery_time': 7387.4575715543415}
{'time': 7086.237380313416, 'activity': 'truck_travel_done', 'from': 8, 'to': 48}
{'time': 7086.237380313416, 'activity': 'truck_arrive', 'node': 48}
{'time': 7174.60173401288, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 8, 'uav_customer': 77, 'recovery_node': 48}
{'time': 7265.416034903497, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 8, 'uav_customer': 97, 'recovery_node': 48}
{'time': 7417.4575715543415, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 8, 'uav_customer': 86, 'recovery_node': 48}
{'time': 7447.4575715543415, 'activity': 'truck_service_done', 'node': 48}
{'time': 7507.4575715543415, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 48, 'uav_customer': 37, 'recovery_node': 71, 'uav_expected_recovery_time': 7747.788253093558}
{'time': 7700.681722554342, 'activity': 'truck_travel_done', 'from': 48, 'to': 71}
{'time': 7700.681722554342, 'activity': 'truck_arrive', 'node': 71}
{'time': 7777.788253093558, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 48, 'uav_customer': 37, 'recovery_node': 71}
{'time': 7807.788253093558, 'activity': 'truck_service_done', 'node': 71}
{'time': 7867.788253093558, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 71, 'uav_customer': 62, 'recovery_node': 93, 'uav_expected_recovery_time': 8302.656421544658}
{'time': 7927.788253093558, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 71, 'uav_customer': 49, 'recovery_node': 93, 'uav_expected_recovery_time': 8447.920970775685}
{'time': 7987.788253093558, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 71, 'uav_customer': 60, 'recovery_node': 93, 'uav_expected_recovery_time': 8416.281206857659}
{'time': 8464.745794093558, 'activity': 'truck_travel_done', 'from': 71, 'to': 93}
{'time': 8464.745794093558, 'activity': 'truck_arrive', 'node': 93}
{'time': 8494.745794093558, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 71, 'uav_customer': 62, 'recovery_node': 93}
{'time': 8524.745794093558, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 71, 'uav_customer': 49, 'recovery_node': 93}
{'time': 8554.745794093558, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 71, 'uav_customer': 60, 'recovery_node': 93}
{'time': 8584.745794093558, 'activity': 'truck_service_done', 'node': 93}
{'time': 9285.031643093558, 'activity': 'truck_travel_done', 'from': 93, 'to': 56}
{'time': 9285.031643093558, 'activity': 'truck_arrive', 'node': 56}
{'time': 9315.031643093558, 'activity': 'truck_service_done', 'node': 56}
{'time': 9375.031643093558, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 56, 'uav_customer': 67, 'recovery_node': 38, 'uav_expected_recovery_time': 9608.636596708297}
{'time': 9435.031643093558, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 56, 'uav_customer': 41, 'recovery_node': 38, 'uav_expected_recovery_time': 9656.027777945126}
{'time': 9495.031643093558, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 56, 'uav_customer': 88, 'recovery_node': 38, 'uav_expected_recovery_time': 9737.038416883233}
{'time': 9722.816035093558, 'activity': 'truck_travel_done', 'from': 56, 'to': 38}
{'time': 9722.816035093558, 'activity': 'truck_arrive', 'node': 38}
{'time': 9752.816035093558, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 56, 'uav_customer': 67, 'recovery_node': 38}
{'time': 9782.816035093558, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 56, 'uav_customer': 41, 'recovery_node': 38}
{'time': 9812.816035093558, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 56, 'uav_customer': 88, 'recovery_node': 38}
{'time': 9842.816035093558, 'activity': 'truck_service_done', 'node': 38}
{'time': 9902.816035093558, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 38, 'uav_customer': 89, 'recovery_node': 6, 'uav_expected_recovery_time': 10263.021316509503}
{'time': 9962.816035093558, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 38, 'uav_customer': 66, 'recovery_node': 6, 'uav_expected_recovery_time': 10342.530660128681}
{'time': 10022.816035093558, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 38, 'uav_customer': 33, 'recovery_node': 6, 'uav_expected_recovery_time': 10356.233723002375}
{'time': 10390.095875093557, 'activity': 'truck_travel_done', 'from': 38, 'to': 6}
{'time': 10390.095875093557, 'activity': 'truck_arrive', 'node': 6}
{'time': 10420.095875093557, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 38, 'uav_customer': 89, 'recovery_node': 6}
{'time': 10450.095875093557, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 38, 'uav_customer': 66, 'recovery_node': 6}
{'time': 10480.095875093557, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 38, 'uav_customer': 33, 'recovery_node': 6}
{'time': 10510.095875093557, 'activity': 'truck_service_done', 'node': 6}
{'time': 10570.095875093557, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 6, 'uav_customer': 4, 'recovery_node': 68, 'uav_expected_recovery_time': 10749.064031355354}
{'time': 10630.095875093557, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 6, 'uav_customer': 2, 'recovery_node': 68, 'uav_expected_recovery_time': 10885.056857077552}
{'time': 10690.095875093557, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 6, 'uav_customer': 10, 'recovery_node': 68, 'uav_expected_recovery_time': 11082.552984476624}
{'time': 10907.043000093558, 'activity': 'truck_travel_done', 'from': 6, 'to': 68}
{'time': 10907.043000093558, 'activity': 'truck_arrive', 'node': 68}
{'time': 10937.043000093558, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 6, 'uav_customer': 4, 'recovery_node': 68}
{'time': 10967.043000093558, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 6, 'uav_customer': 2, 'recovery_node': 68}
{'time': 11112.552984476624, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 6, 'uav_customer': 10, 'recovery_node': 68}
{'time': 11142.552984476624, 'activity': 'truck_service_done', 'node': 68}
{'time': 11218.112141476624, 'activity': 'truck_travel_done', 'from': 68, 'to': 58}
{'time': 11218.112141476624, 'activity': 'truck_arrive', 'node': 58}
{'time': 11248.112141476624, 'activity': 'truck_service_done', 'node': 58}
{'time': 11308.112141476624, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 58, 'uav_customer': 35, 'recovery_node': 23, 'uav_expected_recovery_time': 11776.596859784047}
{'time': 11368.112141476624, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 58, 'uav_customer': 5, 'recovery_node': 23, 'uav_expected_recovery_time': 11836.25131216662}
{'time': 11428.112141476624, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 58, 'uav_customer': 46, 'recovery_node': 23, 'uav_expected_recovery_time': 11916.916874709092}
{'time': 11906.215015476624, 'activity': 'truck_travel_done', 'from': 58, 'to': 23}
{'time': 11906.215015476624, 'activity': 'truck_arrive', 'node': 23}
{'time': 11936.215015476624, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 58, 'uav_customer': 35, 'recovery_node': 23}
{'time': 11966.215015476624, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 58, 'uav_customer': 5, 'recovery_node': 23}
{'time': 11996.215015476624, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 58, 'uav_customer': 46, 'recovery_node': 23}
{'time': 12026.215015476624, 'activity': 'truck_service_done', 'node': 23}
{'time': 12086.215015476624, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 23, 'uav_customer': 92, 'recovery_node': 100, 'uav_expected_recovery_time': 12620.320433019708}
{'time': 12146.215015476624, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 23, 'uav_customer': 64, 'recovery_node': 100, 'uav_expected_recovery_time': 12681.038344426624}
{'time': 12206.215015476624, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 23, 'uav_customer': 69, 'recovery_node': 100, 'uav_expected_recovery_time': 12658.331146033326}
{'time': 12726.411219476624, 'activity': 'truck_travel_done', 'from': 23, 'to': 100}
{'time': 12726.411219476624, 'activity': 'truck_arrive', 'node': 100}
{'time': 12756.411219476624, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 23, 'uav_customer': 92, 'recovery_node': 100}
{'time': 12786.411219476624, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 23, 'uav_customer': 64, 'recovery_node': 100}
{'time': 12816.411219476624, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 23, 'uav_customer': 69, 'recovery_node': 100}
{'time': 12846.411219476624, 'activity': 'truck_service_done', 'node': 100}
{'time': 12906.411219476624, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 100, 'uav_customer': 65, 'recovery_node': 57, 'uav_expected_recovery_time': 13228.926708911218}
{'time': 13197.326348476625, 'activity': 'truck_travel_done', 'from': 100, 'to': 57}
{'time': 13197.326348476625, 'activity': 'truck_arrive', 'node': 57}
{'time': 13258.926708911218, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 100, 'uav_customer': 65, 'recovery_node': 57}
{'time': 13288.926708911218, 'activity': 'truck_service_done', 'node': 57}
{'time': 13348.926708911218, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 57, 'uav_customer': 20, 'recovery_node': 11, 'uav_expected_recovery_time': 13726.713726545526}
{'time': 13408.926708911218, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 57, 'uav_customer': 15, 'recovery_node': 11, 'uav_expected_recovery_time': 13798.350291493742}
{'time': 13703.925064911218, 'activity': 'truck_travel_done', 'from': 57, 'to': 11}
{'time': 13703.925064911218, 'activity': 'truck_arrive', 'node': 11}
{'time': 13756.713726545526, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 57, 'uav_customer': 20, 'recovery_node': 11}
{'time': 13828.350291493742, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 57, 'uav_customer': 15, 'recovery_node': 11}
{'time': 13858.350291493742, 'activity': 'truck_service_done', 'node': 11}
{'time': 14039.631974493741, 'activity': 'truck_travel_done', 'from': 11, 'to': 24}
{'time': 14039.631974493741, 'activity': 'truck_arrive', 'node': 24}
{'time': 14069.631974493741, 'activity': 'truck_service_done', 'node': 24}
{'time': 14129.631974493741, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 24, 'uav_customer': 40, 'recovery_node': 1, 'uav_expected_recovery_time': 14798.320754692142}
{'time': 14842.716316493741, 'activity': 'truck_travel_done', 'from': 24, 'to': 1}
{'time': 14842.716316493741, 'activity': 'truck_arrive', 'node': 1}
{'time': 14872.716316493741, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 24, 'uav_customer': 40, 'recovery_node': 1}
{'time': 14902.716316493741, 'activity': 'truck_service_done', 'node': 1}
{'time': 15917.06320249374, 'activity': 'truck_travel_done', 'from': 1, 'to': 55}
{'time': 15917.06320249374, 'activity': 'truck_arrive', 'node': 55}
{'time': 15947.06320249374, 'activity': 'truck_service_done', 'node': 55}
{'time': 16007.06320249374, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 55, 'uav_customer': 17, 'recovery_node': 72, 'uav_expected_recovery_time': 16173.20893831468}
{'time': 16067.06320249374, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 55, 'uav_customer': 32, 'recovery_node': 72, 'uav_expected_recovery_time': 16236.419821101632}
{'time': 16127.06320249374, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 55, 'uav_customer': 47, 'recovery_node': 72, 'uav_expected_recovery_time': 16330.970188197307}
{'time': 16279.520939493741, 'activity': 'truck_travel_done', 'from': 55, 'to': 72}
{'time': 16279.520939493741, 'activity': 'truck_arrive', 'node': 72}
{'time': 16309.520939493741, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 55, 'uav_customer': 17, 'recovery_node': 72}
{'time': 16339.520939493741, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 55, 'uav_customer': 32, 'recovery_node': 72}
{'time': 16369.520939493741, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 55, 'uav_customer': 47, 'recovery_node': 72}
{'time': 16399.52093949374, 'activity': 'truck_service_done', 'node': 72}
{'time': 16459.52093949374, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 72, 'uav_customer': 21, 'recovery_node': 78, 'uav_expected_recovery_time': 16681.64835557622}
{'time': 16519.52093949374, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 72, 'uav_customer': 27, 'recovery_node': 78, 'uav_expected_recovery_time': 16731.49301779113}
{'time': 16579.52093949374, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 72, 'uav_customer': 91, 'recovery_node': 78, 'uav_expected_recovery_time': 16920.878062179145}
{'time': 16838.02420749374, 'activity': 'truck_travel_done', 'from': 72, 'to': 78}
{'time': 16838.02420749374, 'activity': 'truck_arrive', 'node': 78}
{'time': 16868.02420749374, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 72, 'uav_customer': 21, 'recovery_node': 78}
{'time': 16898.02420749374, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 72, 'uav_customer': 27, 'recovery_node': 78}
{'time': 16950.878062179145, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 72, 'uav_customer': 91, 'recovery_node': 78}
